epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,4713.3,0.13532,0.15867,0.89146,0.99753,1,0.995,0.995,0.07238,0.09281,0.79093,0.008515,0.008515,0.008515
77,4775.3,0.13367,0.1561,0.89089,0.99812,1,0.995,0.995,0.07273,0.09376,0.78998,0.0084952,0.0084952,0.0084952
78,4837.21,0.13318,0.15774,0.89106,0.99766,1,0.995,0.995,0.07128,0.09517,0.78792,0.0084754,0.0084754,0.0084754
79,4899.16,0.13502,0.16208,0.89351,0.99726,1,0.995,0.995,0.0698,0.0939,0.78634,0.0084556,0.0084556,0.0084556
80,4961.1,0.13171,0.15506,0.8906,0.99686,1,0.995,0.995,0.0641,0.09035,0.78154,0.0084358,0.0084358,0.0084358
81,5023.03,0.13218,0.15713,0.89233,0.99678,1,0.995,0.995,0.0621,0.08806,0.78043,0.008416,0.008416,0.008416
82,5084.98,0.13299,0.15681,0.89209,0.99649,1,0.995,0.995,0.06346,0.08801,0.78254,0.0083962,0.0083962,0.0083962
83,5146.89,0.1317,0.15459,0.89166,0.99665,1,0.995,0.99474,0.06355,0.08671,0.78312,0.0083764,0.0083764,0.0083764
84,5208.84,0.13234,0.15577,0.89076,0.99679,1,0.995,0.995,0.06383,0.08751,0.7825,0.0083566,0.0083566,0.0083566
85,5270.73,0.12954,0.15654,0.8908,0.99662,1,0.995,0.995,0.0653,0.08815,0.78355,0.0083368,0.0083368,0.0083368
86,5332.67,0.13172,0.1569,0.89127,0.99656,1,0.995,0.995,0.0681,0.0841,0.78386,0.008317,0.008317,0.008317
87,5394.61,0.13008,0.15621,0.88926,0.9969,1,0.995,0.995,0.06982,0.08755,0.78481,0.0082972,0.0082972,0.0082972
88,5456.55,0.12985,0.15707,0.89144,0.99732,1,0.995,0.995,0.06857,0.08591,0.78378,0.0082774,0.0082774,0.0082774
89,5518.46,0.12965,0.15389,0.89017,0.9977,1,0.995,0.995,0.068,0.08816,0.7836,0.0082576,0.0082576,0.0082576
90,5580.42,0.1284,0.15291,0.88983,0.99773,1,0.995,0.995,0.06644,0.09231,0.78297,0.0082378,0.0082378,0.0082378
91,5642.47,0.12774,0.15532,0.89022,0.9975,1,0.995,0.995,0.06466,0.09488,0.78251,0.008218,0.008218,0.008218
92,5704.36,0.12816,0.15473,0.88896,0.99761,1,0.995,0.995,0.06454,0.09885,0.78328,0.0081982,0.0081982,0.0081982
93,5766.26,0.12651,0.15406,0.88888,0.99781,1,0.995,0.995,0.0633,0.0961,0.78226,0.0081784,0.0081784,0.0081784
94,5828.17,0.12889,0.15313,0.8889,0.99779,1,0.995,0.995,0.06258,0.09613,0.78036,0.0081586,0.0081586,0.0081586
95,5890.08,0.12579,0.15172,0.88981,0.99751,1,0.995,0.995,0.06169,0.09448,0.77975,0.0081388,0.0081388,0.0081388
96,5952.03,0.12471,0.15086,0.88709,0.99713,1,0.995,0.995,0.0612,0.09577,0.7797,0.008119,0.008119,0.008119
97,6013.98,0.12457,0.14993,0.88841,0.99735,1,0.995,0.995,0.06201,0.09388,0.78006,0.0080992,0.0080992,0.0080992
98,6075.93,0.12423,0.14825,0.88681,0.99681,1,0.995,0.995,0.06155,0.09339,0.77949,0.0080794,0.0080794,0.0080794
99,6137.85,0.12394,0.14986,0.89001,0.99698,1,0.995,0.995,0.06176,0.09274,0.77981,0.0080596,0.0080596,0.0080596
100,6199.8,0.1248,0.15071,0.88996,0.99682,1,0.995,0.995,0.06183,0.09351,0.78021,0.0080398,0.0080398,0.0080398
101,6261.72,0.12212,0.14859,0.8861,0.99668,1,0.995,0.995,0.06101,0.09544,0.77988,0.00802,0.00802,0.00802
102,6323.76,0.12371,0.15159,0.88981,0.99667,1,0.995,0.995,0.06129,0.09574,0.78047,0.0080002,0.0080002,0.0080002
103,6385.67,0.12388,0.15198,0.88822,0.99654,1,0.995,0.995,0.062,0.09702,0.78092,0.0079804,0.0079804,0.0079804
104,6447.63,0.12336,0.14954,0.88792,0.99665,1,0.995,0.995,0.06192,0.09496,0.78074,0.0079606,0.0079606,0.0079606
105,6509.55,0.12186,0.14818,0.88921,0.99628,1,0.995,0.995,0.06267,0.0949,0.78147,0.0079408,0.0079408,0.0079408
106,6571.54,0.12085,0.14846,0.88768,0.99633,1,0.995,0.995,0.06199,0.09535,0.78083,0.007921,0.007921,0.007921
107,6633.63,0.12348,0.15097,0.88945,0.99621,1,0.995,0.995,0.06125,0.09408,0.78023,0.0079012,0.0079012,0.0079012
108,6695.53,0.1231,0.15152,0.88859,0.99641,1,0.995,0.995,0.06094,0.09436,0.7799,0.0078814,0.0078814,0.0078814
109,6757.45,0.12204,0.14672,0.88966,0.99673,1,0.995,0.995,0.06016,0.09304,0.7794,0.0078616,0.0078616,0.0078616
110,6819.36,0.11942,0.14389,0.88575,0.99652,1,0.995,0.995,0.05984,0.09313,0.77917,0.0078418,0.0078418,0.0078418
111,6881.39,0.11969,0.14365,0.8856,0.99659,1,0.995,0.995,0.05895,0.09207,0.77866,0.007822,0.007822,0.007822
112,6943.28,0.12111,0.1466,0.88801,0.99654,1,0.995,0.995,0.05855,0.08908,0.77835,0.0078022,0.0078022,0.0078022
113,7005.32,0.11855,0.1414,0.88651,0.99665,1,0.995,0.995,0.05817,0.08842,0.77811,0.0077824,0.0077824,0.0077824
